"codigo","municipio","latitude","longitude","capital","cod_uf","siafi","ddd","fuso"
2800308,"Aracaju",-10.9091,-37.0677,1,28,3105,79,"America/Sao_Paulo"
1501402,"BelÃ©m",-1.4554,-48.4898,1,15,427,91,"America/Sao_Paulo"
3106200,"Belo Horizonte",-19.9102,-43.9266,1,31,4123,31,"America/Sao_Paulo"
1400100,"Boa Vista",2.82384,-60.6753,1,14,301,95,"America/Porto_Velho"
5300108,"BrasÃ­lia",-15.7795,-47.9297,1,53,9701,61,"America/Sao_Paulo"
5002704,"Campo Grande",-20.4486,-54.6295,1,50,9051,67,"America/Porto_Velho"
5103403,"CuiabÃ¡",-15.601,-56.0974,1,51,9067,65,"America/Porto_Velho"
4106902,"Curitiba",-25.4195,-49.2646,1,41,7535,41,"America/Sao_Paulo"
4205407,"FlorianÃ³polis",-27.5945,-48.5477,1,42,8105,48,"America/Sao_Paulo"
2304400,"Fortaleza",-3.71664,-38.5423,1,23,1389,85,"America/Sao_Paulo"
5208707,"GoiÃ¢nia",-16.6864,-49.2643,1,52,9373,62,"America/Sao_Paulo"
2507507,"JoÃ£o Pessoa",-7.11509,-34.8641,1,25,2051,83,"America/Sao_Paulo"
1600303,"MacapÃ¡",0.034934,-51.0694,1,16,605,96,"America/Sao_Paulo"
2704302,"MaceiÃ³",-9.66599,-35.735,1,27,2785,82,"America/Sao_Paulo"
1302603,"Manaus",-3.11866,-60.0212,1,13,255,92,"America/Porto_Velho"
2408102,"Natal",-5.79357,-35.1986,1,24,1761,84,"America/Sao_Paulo"
1721000,"Palmas",-10.24,-48.3558,1,17,9733,63,"America/Sao_Paulo"
4314902,"Porto Alegre",-30.0318,-51.2065,1,43,8801,51,"America/Sao_Paulo"
1100205,"Porto Velho",-8.76077,-63.8999,1,11,3,69,"America/Porto_Velho"
2611606,"Recife",-8.04666,-34.8771,1,26,2531,81,"America/Sao_Paulo"
1200401,"Rio Branco",-9.97499,-67.8243,1,12,139,68,"America/Rio_Branco"
3304557,"Rio de Janeiro",-22.9129,-43.2003,1,33,6001,21,"America/Sao_Paulo"
2927408,"Salvador",-12.9718,-38.5011,1,29,3849,71,"America/Sao_Paulo"
2111300,"SÃ£o LuÃ­s",-2.53874,-44.2825,1,21,921,98,"America/Sao_Paulo"
3550308,"SÃ£o Paulo",-23.5329,-46.6395,1,35,7107,11,"America/Sao_Paulo"
2211001,"Teresina",-5.09194,-42.8034,1,22,1219,86,"America/Sao_Paulo"
3205309,"VitÃ³ria",-20.3155,-40.3128,1,32,5705,27,"America/Sao_Paulo"
